date,close,high,low,volume
2021-08-06,3458.23,3466.39,3436.93,336824384.0
2021-08-09,3494.63,3502.84,3438.7,349910080.0
2021-08-10,3529.93,3529.93,3477.06,345112992.0
2021-08-11,3532.62,3544.09,3524.04,383783552.0
2021-08-12,3524.74,3538.4,3513.45,381074592.0
2021-08-13,3516.3,3540.08,3500.8,378187296.0
2021-08-16,3517.34,3537.85,3510.9,391099712.0
2021-08-17,3446.98,3531.73,3438.12,422885792.0
2021-08-18,3485.29,3487.44,3437.69,389203744.0
2021-08-19,3465.55,3480.46,3446.01,382383040.0
2021-08-20,3427.33,3453.15,3394.97,391136928.0
2021-08-23,3477.13,3481.25,3436.67,384727424.0
2021-08-24,3514.47,3522.7,3481.14,430236448.0
2021-08-25,3540.38,3540.39,3510.07,450047008.0
2021-08-26,3501.66,3537.32,3499.45,502903136.0
2021-08-27,3522.16,3530.19,3493.38,455345920.0
2021-08-30,3528.15,3539.49,3512.99,512785728.0
2021-08-31,3543.94,3543.94,3496.39,524205056.0
2021-09-01,3567.1,3582.32,3514.67,667276288.0
2021-09-02,3597.04,3597.37,3557.68,572684032.0
2021-09-03,3581.73,3613.95,3569.4,614532352.0
2021-09-06,3621.86,3626.29,3580.14,521713280.0
2021-09-07,3676.59,3681.93,3615.14,547721856.0
2021-09-08,3675.19,3695.32,3661.0,586436224.0
2021-09-09,3693.13,3693.45,3662.16,604810304.0
2021-09-10,3703.11,3722.87,3681.64,635200448.0
2021-09-13,3715.37,3716.83,3692.82,557484032.0
2021-09-14,3662.6,3723.85,3655.63,564952384.0
2021-09-15,3656.22,3677.53,3638.32,474970016.0
2021-09-16,3607.09,3677.92,3606.73,546741504.0
2021-09-17,3613.97,3620.96,3569.27,516850208.0
2021-09-22,3628.49,3629.45,3560.5,472296064.0
2021-09-23,3642.22,3670.95,3632.28,534995488.0
2021-09-24,3613.07,3651.43,3607.79,507304768.0
2021-09-27,3582.83,3640.81,3559.92,510802784.0
2021-09-28,3602.22,3610.92,3568.82,444168800.0
2021-09-29,3536.29,3573.52,3518.05,452511136.0
2021-09-30,3568.17,3572.43,3541.93,395629632.0
2021-10-08,3592.17,3612.55,3571.73,407161152.0
2021-10-11,3591.71,3614.7,3586.75,394361152.0
2021-10-12,3546.94,3583.64,3515.14,405393760.0
2021-10-13,3561.76,3569.13,3515.65,325050656.0
2021-10-14,3558.28,3569.69,3547.18,294969184.0
2021-10-15,3572.37,3578.77,3542.69,320292992.0
2021-10-18,3568.14,3571.05,3539.48,340950624.0
2021-10-19,3593.15,3596.79,3560.62,334197664.0
2021-10-20,3587.0,3596.05,3574.3,344244992.0
2021-10-21,3594.78,3610.96,3576.35,352310880.0
2021-10-22,3582.6,3607.58,3578.76,353157216.0
2021-10-25,3609.86,3611.09,3564.21,321196800.0
2021-10-26,3597.64,3625.02,3589.71,337278304.0
2021-10-27,3562.31,3589.86,3553.13,350620928.0
2021-10-28,3518.42,3552.04,3509.49,378171680.0
2021-10-29,3547.34,3547.34,3502.8,358809376.0
2021-11-01,3544.48,3556.59,3519.29,382251328.0
2021-11-02,3505.63,3559.05,3477.66,417563168.0
2021-11-03,3498.54,3512.61,3480.49,306607680.0
2021-11-04,3526.87,3527.95,3503.01,319440832.0
2021-11-05,3491.57,3525.87,3491.46,354533568.0
2021-11-08,3498.63,3507.27,3484.24,298183712.0
2021-11-09,3507.0,3514.95,3489.04,287316000.0
2021-11-10,3492.46,3498.94,3448.44,307030720.0
2021-11-11,3532.79,3534.2,3482.83,322087968.0
2021-11-12,3539.1,3543.65,3527.39,308683360.0
2021-11-15,3533.3,3550.44,3521.29,313017600.0
2021-11-16,3521.79,3549.77,3517.81,310399904.0
2021-11-17,3537.37,3537.51,3513.52,276735680.0
2021-11-18,3520.71,3537.98,3513.11,312426912.0
2021-11-19,3560.37,3561.91,3517.65,317989984.0
2021-11-22,3582.08,3585.19,3562.75,330009376.0
2021-11-23,3589.09,3598.38,3577.36,360011584.0
2021-11-24,3592.7,3602.74,3575.29,336775232.0
2021-11-25,3584.18,3597.15,3579.53,306451520.0
2021-11-26,3564.09,3576.11,3554.88,301000064.0
2021-11-29,3562.7,3563.68,3526.36,333618336.0
2021-11-30,3563.89,3582.12,3546.36,349187936.0
2021-12-01,3576.89,3576.89,3558.69,329873504.0
2021-12-02,3573.84,3586.87,3567.14,354041536.0
2021-12-03,3607.43,3608.47,3573.21,377551040.0
2021-12-06,3589.31,3626.13,3586.81,418676736.0
2021-12-07,3595.09,3614.22,3572.57,403842592.0
2021-12-08,3637.57,3637.72,3591.99,361036672.0
2021-12-09,3673.04,3688.4,3638.7,431918144.0
2021-12-10,3666.35,3667.85,3651.35,419988800.0
